ai_provider,match_key,website_a_url,website_b_url,verdict,human_visible_changes,confidence,summary
"gemini","/","https://www.hotpackglobal.com/","https://chipper-fenglisu-cc19b7.netlify.app/","changes_visible","true","1","The second website is a severely broken and incomplete version of the first, missing the vast majority of its content, layout, and styling."
"gemini","/ar","","https://chipper-fenglisu-cc19b7.netlify.app/ar","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/uae","","https://chipper-fenglisu-cc19b7.netlify.app/uae","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/about-us","","https://chipper-fenglisu-cc19b7.netlify.app/about-us","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/leadership","","https://chipper-fenglisu-cc19b7.netlify.app/leadership","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/life-at-hotpack","","https://chipper-fenglisu-cc19b7.netlify.app/life-at-hotpack","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/manufacturing","","https://chipper-fenglisu-cc19b7.netlify.app/manufacturing","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/our-capability","","https://chipper-fenglisu-cc19b7.netlify.app/our-capability","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/customization","","https://chipper-fenglisu-cc19b7.netlify.app/customization","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/factories","","https://chipper-fenglisu-cc19b7.netlify.app/factories","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/sustainability","","https://chipper-fenglisu-cc19b7.netlify.app/sustainability","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/our-commitment","","https://chipper-fenglisu-cc19b7.netlify.app/our-commitment","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/innovation","","https://chipper-fenglisu-cc19b7.netlify.app/innovation","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ethics-and-compliance","","https://chipper-fenglisu-cc19b7.netlify.app/ethics-and-compliance","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/sustainability-report","","https://chipper-fenglisu-cc19b7.netlify.app/sustainability-report","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/sustainability-resources","","https://chipper-fenglisu-cc19b7.netlify.app/sustainability-resources","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
